Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,Male,M,65-74 years,65-74,32,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,Male,M,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,35-44 years,35-44,14,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,45-54 years,45-54,39,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,55-64 years,55-64,109,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,65-74 years,65-74,177,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,75-84 years,75-84,171,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,85+ years,85+,117,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,35-44 years,35-44,10,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,45-54 years,45-54,89,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,55-64 years,55-64,196,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,65-74 years,65-74,275,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,75-84 years,75-84,238,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,85+ years,85+,103,Not Applicable,Not Applicable
,White,2106-3,"Hypoglycaemia, unspecified",E16.2,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Hypoglycaemia, unspecified",E16.2,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Female,F,55-64 years,55-64,17,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Female,F,65-74 years,65-74,25,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Female,F,75-84 years,75-84,38,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Female,F,85+ years,85+,30,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Male,M,65-74 years,65-74,25,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Male,M,75-84 years,75-84,33,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,Male,M,85+ years,85+,32,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Female,F,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Female,F,75-84 years,75-84,24,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Female,F,85+ years,85+,42,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Male,M,75-84 years,75-84,28,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,Male,M,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,Extreme obesity with alveolar hypoventilation,E66.2,Female,F,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Extreme obesity with alveolar hypoventilation,E66.2,Female,F,65-74 years,65-74,27,Not Applicable,Not Applicable
,White,2106-3,Extreme obesity with alveolar hypoventilation,E66.2,Female,F,75-84 years,75-84,18,Not Applicable,Not Applicable
,White,2106-3,Extreme obesity with alveolar hypoventilation,E66.2,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Extreme obesity with alveolar hypoventilation,E66.2,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Female,F,35-44 years,35-44,11,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Female,F,45-54 years,45-54,21,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Female,F,55-64 years,55-64,50,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Female,F,65-74 years,65-74,64,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Female,F,75-84 years,75-84,18,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Male,M,35-44 years,35-44,16,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Male,M,45-54 years,45-54,35,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Male,M,55-64 years,55-64,52,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Male,M,65-74 years,65-74,49,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Female,F,45-54 years,45-54,13,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Female,F,55-64 years,55-64,19,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Female,F,65-74 years,65-74,21,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Male,M,45-54 years,45-54,18,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Male,M,55-64 years,55-64,29,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,Male,M,65-74 years,65-74,21,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,Female,F,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,Female,F,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Female,F,55-64 years,55-64,24,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Female,F,65-74 years,65-74,46,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Female,F,75-84 years,75-84,77,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Female,F,85+ years,85+,73,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Male,M,45-54 years,45-54,29,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Male,M,55-64 years,55-64,82,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Male,M,65-74 years,65-74,93,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Male,M,75-84 years,75-84,117,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,Male,M,85+ years,85+,72,Not Applicable,Not Applicable
,White,2106-3,"Disorder of lipoprotein metabolism, unspecified",E78.9,Male,M,65-74 years,65-74,12,Not Applicable,Not Applicable
,White,2106-3,"Disorder of lipoprotein metabolism, unspecified",E78.9,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,"Disorder of lipoprotein metabolism, unspecified",E78.9,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,Male,M,75-84 years,75-84,26,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,Male,M,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,Female,F,75-84 years,75-84,18,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,Female,F,85+ years,85+,37,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,Male,M,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,Female,F,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,Male,M,75-84 years,75-84,21,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,Male,M,85+ years,85+,19,Not Applicable,Not Applicable
,White,2106-3,Hypo-osmolality and hyponatraemia,E87.1,Female,F,85+ years,85+,27,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Female,F,45-54 years,45-54,14,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Female,F,55-64 years,55-64,45,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Female,F,65-74 years,65-74,68,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Female,F,75-84 years,75-84,49,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Female,F,85+ years,85+,47,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Male,M,55-64 years,55-64,30,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Male,M,65-74 years,65-74,66,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Male,M,75-84 years,75-84,34,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,Male,M,85+ years,85+,35,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Female,F,65-74 years,65-74,19,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Female,F,75-84 years,75-84,19,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Female,F,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Male,M,65-74 years,65-74,19,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,Fluid overload,E87.7,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Female,F,65-74 years,65-74,37,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Female,F,75-84 years,75-84,38,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Female,F,85+ years,85+,60,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Male,M,65-74 years,65-74,23,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Male,M,75-84 years,75-84,55,Not Applicable,Not Applicable
,White,2106-3,"Metabolic disorder, unspecified",E88.9,Male,M,85+ years,85+,55,Not Applicable,Not Applicable
,White,2106-3,"Vascular dementia, unspecified",F01.9,Female,F,75-84 years,75-84,22,Not Applicable,Not Applicable
,White,2106-3,"Vascular dementia, unspecified",F01.9,Female,F,85+ years,85+,32,Not Applicable,Not Applicable
,White,2106-3,"Vascular dementia, unspecified",F01.9,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,"Vascular dementia, unspecified",F01.9,Male,M,75-84 years,75-84,34,Not Applicable,Not Applicable
,White,2106-3,"Vascular dementia, unspecified",F01.9,Male,M,85+ years,85+,52,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Female,F,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Female,F,65-74 years,65-74,87,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Female,F,75-84 years,75-84,306,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Female,F,85+ years,85+,849,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Male,M,65-74 years,65-74,104,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Male,M,75-84 years,75-84,325,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,Male,M,85+ years,85+,568,Not Applicable,Not Applicable
,White,2106-3,Delirium superimposed on dementia,F05.1,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Delirium superimposed on dementia,F05.1,Male,M,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,"Delirium, unspecified",F05.9,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,"Delirium, unspecified",F05.9,Male,M,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Female,F,45-54 years,45-54,14,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Female,F,55-64 years,55-64,22,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,35-44 years,35-44,11,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,45-54 years,45-54,24,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,55-64 years,55-64,57,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Female,F,45-54 years,45-54,14,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,25-34 years,25-34,10,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,35-44 years,35-44,12,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,45-54 years,45-54,27,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,55-64 years,55-64,56,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,65-74 years,65-74,26,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, withdrawal state",F10.3,Male,M,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Female,F,25-34 years,25-34,24,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Female,F,35-44 years,35-44,20,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Female,F,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Male,M,25-34 years,25-34,25,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Male,M,35-44 years,35-44,18,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Male,M,45-54 years,45-54,23,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Female,F,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Female,F,55-64 years,55-64,21,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Female,F,65-74 years,65-74,37,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Female,F,75-84 years,75-84,32,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Male,M,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Male,M,55-64 years,55-64,45,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Male,M,65-74 years,65-74,50,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,Male,M,75-84 years,75-84,40,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Female,F,65-74 years,65-74,26,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Female,F,75-84 years,75-84,85,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Female,F,85+ years,85+,64,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Male,M,55-64 years,55-64,16,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Male,M,65-74 years,65-74,79,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Male,M,75-84 years,75-84,213,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,Male,M,85+ years,85+,147,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Female,F,65-74 years,65-74,36,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Female,F,75-84 years,75-84,145,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Female,F,85+ years,85+,339,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Male,M,65-74 years,65-74,37,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Male,M,75-84 years,75-84,143,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,Male,M,85+ years,85+,237,Not Applicable,Not Applicable
,White,2106-3,"Senile degeneration of brain, not elsewhere classified",G31.1,Female,F,85+ years,85+,12,Not Applicable,Not Applicable
,White,2106-3,Other specified degenerative diseases of nervous system,G31.8,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Other specified degenerative diseases of nervous system,G31.8,Male,M,65-74 years,65-74,15,Not Applicable,Not Applicable
,White,2106-3,Other specified degenerative diseases of nervous system,G31.8,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,Other specified degenerative diseases of nervous system,G31.8,Male,M,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Female,F,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Female,F,55-64 years,55-64,36,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Female,F,65-74 years,65-74,51,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Female,F,75-84 years,75-84,27,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Male,M,45-54 years,45-54,12,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Male,M,55-64 years,55-64,18,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,Male,M,65-74 years,65-74,35,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Female,F,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Female,F,65-74 years,65-74,27,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Female,F,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Female,F,85+ years,85+,15,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Male,M,65-74 years,65-74,21,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,Male,M,75-84 years,75-84,18,Not Applicable,Not Applicable
,White,2106-3,Sleep apnoea,G47.3,Female,F,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,Sleep apnoea,G47.3,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Sleep apnoea,G47.3,Male,M,55-64 years,55-64,15,Not Applicable,Not Applicable
,White,2106-3,Sleep apnoea,G47.3,Male,M,65-74 years,65-74,19,Not Applicable,Not Applicable
,White,2106-3,Sleep apnoea,G47.3,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,Female,F,75-84 years,75-84,22,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,Female,F,85+ years,85+,12,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,Male,M,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,White,2106-3,Muscular dystrophy,G71.0,Male,M,15-24 years,15-24,16,Not Applicable,Not Applicable
,White,2106-3,Muscular dystrophy,G71.0,Male,M,25-34 years,25-34,12,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,Female,F,25-34 years,25-34,12,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,Male,M,35-44 years,35-44,10,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Tetraplegia, unspecified",G82.5,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,35-44 years,35-44,24,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,45-54 years,45-54,57,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,55-64 years,55-64,150,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,65-74 years,65-74,141,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,75-84 years,75-84,97,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,85+ years,85+,42,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,25-34 years,25-34,15,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,35-44 years,35-44,42,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,45-54 years,45-54,76,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,55-64 years,55-64,195,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,65-74 years,65-74,198,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,75-84 years,75-84,118,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,85+ years,85+,38,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Female,F,55-64 years,55-64,24,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Female,F,65-74 years,65-74,45,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Female,F,75-84 years,75-84,43,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Female,F,85+ years,85+,67,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Male,M,55-64 years,55-64,27,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Male,M,65-74 years,65-74,57,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Male,M,75-84 years,75-84,69,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,Male,M,85+ years,85+,51,Not Applicable,Not Applicable
,White,2106-3,Cerebral oedema,G93.6,Female,F,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Cerebral oedema,G93.6,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,Cerebral oedema,G93.6,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Mitral stenosis,I05.0,Female,F,75-84 years,75-84,20,Not Applicable,Not Applicable
,White,2106-3,Mitral stenosis,I05.0,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,Female,F,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Tricuspid insufficiency,I07.1,Female,F,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,Disorders of both mitral and aortic valves,I08.0,Female,F,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Disorders of both mitral and aortic valves,I08.0,Female,F,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,Female,F,45-54 years,45-54,25,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,Female,F,55-64 years,55-64,59,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,Female,F,65-74 years,65-74,87,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,Female,F,75-84 years,75-84,119,Not Applicable,Not Applicable
